Energy(eV) DOS(1/eV/m^3) DOS_Norm(CodeUnits)
0.749 7.75225e+26 0.101417
0.75 7.75743e+26 0.101484
0.751 7.7626e+26 0.101552
0.752 7.76776e+26 0.10162
0.753 7.77292e+26 0.101687
0.754 7.77808e+26 0.101755
0.755 7.78324e+26 0.101822
0.756 7.78839e+26 0.10189
0.757 7.79354e+26 0.101957
0.758 7.79869e+26 0.102024
0.759 7.80383e+26 0.102092
0.76 7.80897e+26 0.102159
0.761 7.81411e+26 0.102226
0.762 7.81924e+26 0.102293
0.763 7.82437e+26 0.10236
0.764 7.82949e+26 0.102427
0.765 7.83462e+26 0.102494
0.766 7.83973e+26 0.102561
0.767 7.84485e+26 0.102628
0.768 7.84996e+26 0.102695
0.769 7.85507e+26 0.102762
